Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 3.5736e+00	 5.0000e-06	
 1.0000e+00	 3.5746e+00	 5.0000e-06	
 2.0000e+00	 3.5675e+00	 5.0000e-06	
 3.0000e+00	 3.5618e+00	 5.0000e-06	
 4.0000e+00	 3.5583e+00	 5.0000e-06	
 5.0000e+00	 3.5553e+00	 5.0000e-06	
 6.0000e+00	 3.5525e+00	 5.0000e-06	
 7.0000e+00	 3.5503e+00	 5.0000e-06	
 8.0000e+00	 3.5481e+00	 5.0000e-06	
 9.0000e+00	 3.5453e+00	 5.0000e-06	
 1.0000e+01	 3.5441e+00	 5.0000e-06	
 1.1000e+01	 3.5422e+00	 5.0000e-06	
 1.2000e+01	 3.5407e+00	 5.0000e-06	
 1.3000e+01	 3.5381e+00	 5.0000e-06	
 1.4000e+01	 3.5366e+00	 5.0000e-06	
 1.5000e+01	 3.5351e+00	 5.0000e-06	
 1.6000e+01	 3.5329e+00	 5.0000e-06	
 1.7000e+01	 3.5316e+00	 5.0000e-06	
 1.8000e+01	 3.5307e+00	 5.0000e-06	
 1.9000e+01	 3.5293e+00	 5.0000e-06	
 2.0000e+01	 3.5276e+00	 5.0000e-06	
 2.1000e+01	 3.5267e+00	 5.0000e-06	
 2.2000e+01	 3.5248e+00	 5.0000e-06	
 2.3000e+01	 3.5228e+00	 5.0000e-06	
 2.4000e+01	 3.5215e+00	 5.0000e-06	
 2.5000e+01	 3.5206e+00	 5.0000e-06	
 2.6000e+01	 3.5187e+00	 5.0000e-06	
 2.7000e+01	 3.5176e+00	 5.0000e-06	
 2.8000e+01	 3.5168e+00	 5.0000e-06	
 2.9000e+01	 3.5157e+00	 5.0000e-06	
 3.0000e+01	 3.5144e+00	 5.0000e-06	
 3.1000e+01	 3.5129e+00	 5.0000e-06	
 3.2000e+01	 3.5122e+00	 5.0000e-06	
 3.3000e+01	 3.5102e+00	 5.0000e-06	
 3.4000e+01	 3.5094e+00	 5.0000e-06	
 3.5000e+01	 3.5079e+00	 5.0000e-06	
 3.6000e+01	 3.5073e+00	 5.0000e-06	
 3.7000e+01	 3.5059e+00	 5.0000e-06	
 3.8000e+01	 3.5043e+00	 5.0000e-06	
 3.9000e+01	 3.5030e+00	 5.0000e-06	
 4.0000e+01	 3.5019e+00	 5.0000e-06	
 4.1000e+01	 3.5009e+00	 5.0000e-06	
 4.2000e+01	 3.5001e+00	 5.0000e-06	
