Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 5.0678e+00	 5.0000e-04	
 1.0000e+00	 4.8461e+00	 5.0000e-04	
 2.0000e+00	 5.0193e+00	 5.0000e-04	
 3.0000e+00	 4.9996e+00	 5.0000e-04	
 4.0000e+00	 4.9890e+00	 5.0000e-04	
 5.0000e+00	 4.9230e+00	 5.0000e-04	
 6.0000e+00	 4.9282e+00	 5.0000e-04	
 7.0000e+00	 4.8966e+00	 5.0000e-04	
 8.0000e+00	 4.8629e+00	 5.0000e-04	
 9.0000e+00	 4.8653e+00	 5.0000e-04	
 1.0000e+01	 4.8889e+00	 5.0000e-04	
 1.1000e+01	 4.8749e+00	 5.0000e-04	
 1.2000e+01	 4.8595e+00	 5.0000e-04	
 1.3000e+01	 4.8743e+00	 5.0000e-04	
 1.4000e+01	 4.8652e+00	 5.0000e-04	
 1.5000e+01	 4.8727e+00	 5.0000e-04	
 1.6000e+01	 4.8377e+00	 5.0000e-04	
 1.7000e+01	 4.8852e+00	 5.0000e-04	
 1.8000e+01	 4.8705e+00	 5.0000e-04	
 1.9000e+01	 4.8451e+00	 5.0000e-04	
 2.0000e+01	 4.8410e+00	 5.0000e-04	
 2.1000e+01	 4.8586e+00	 5.0000e-04	
 2.2000e+01	 4.8648e+00	 5.0000e-04	
 2.3000e+01	 4.8554e+00	 5.0000e-04	
 2.4000e+01	 4.8572e+00	 5.0000e-04	
