Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 4.1629e+00	 2.5000e-06	
 1.0000e+00	 4.1667e+00	 2.5000e-06	
 2.0000e+00	 4.1766e+00	 2.5000e-06	
 3.0000e+00	 4.1595e+00	 2.5000e-06	
 4.0000e+00	 4.1449e+00	 2.5000e-06	
 5.0000e+00	 4.0975e+00	 2.5000e-06	
 6.0000e+00	 4.1558e+00	 2.5000e-06	
 7.0000e+00	 4.1550e+00	 2.5000e-06	
 8.0000e+00	 4.1574e+00	 2.5000e-06	
 9.0000e+00	 4.1195e+00	 2.5000e-06	
 1.0000e+01	 4.1780e+00	 2.5000e-06	
 1.1000e+01	 4.1537e+00	 2.5000e-06	
 1.2000e+01	 4.1377e+00	 2.5000e-06	
 1.3000e+01	 4.1532e+00	 2.5000e-06	
 1.4000e+01	 4.1851e+00	 2.5000e-06	
 1.5000e+01	 4.1594e+00	 2.5000e-06	
 1.6000e+01	 4.1975e+00	 2.5000e-06	
 1.7000e+01	 4.1849e+00	 2.5000e-06	
 1.8000e+01	 4.1883e+00	 2.5000e-06	
 1.9000e+01	 4.1978e+00	 2.5000e-06	
 2.0000e+01	 4.1632e+00	 2.5000e-06	
 2.1000e+01	 4.1794e+00	 2.5000e-06	
 2.2000e+01	 4.1826e+00	 2.5000e-06	
 2.3000e+01	 4.1785e+00	 2.5000e-06	
 2.4000e+01	 4.1885e+00	 2.5000e-06	
 2.5000e+01	 4.1594e+00	 2.5000e-06	
 2.6000e+01	 4.1758e+00	 2.5000e-06	
 2.7000e+01	 4.1477e+00	 2.5000e-06	
 2.8000e+01	 4.1633e+00	 2.5000e-06	
 2.9000e+01	 4.1808e+00	 2.5000e-06	
 3.0000e+01	 4.1813e+00	 2.5000e-06	
 3.1000e+01	 4.1653e+00	 2.5000e-06	
 3.2000e+01	 4.1493e+00	 2.5000e-06	
 3.3000e+01	 4.1641e+00	 2.5000e-06	
 3.4000e+01	 4.1872e+00	 2.5000e-06	
 3.5000e+01	 4.1827e+00	 2.5000e-06	
 3.6000e+01	 4.1905e+00	 2.5000e-06	
 3.7000e+01	 4.1520e+00	 2.5000e-06	
 3.8000e+01	 4.1781e+00	 2.5000e-06	
 3.9000e+01	 4.1819e+00	 2.5000e-06	
 4.0000e+01	 4.1924e+00	 2.5000e-06	
 4.1000e+01	 4.1726e+00	 2.5000e-06	
 4.2000e+01	 4.1304e+00	 2.5000e-06	
 4.3000e+01	 4.1638e+00	 2.5000e-06	
 4.4000e+01	 4.2064e+00	 2.5000e-06	
 4.5000e+01	 4.1633e+00	 2.5000e-06	
