Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 4.2189e+00	 1.0000e-07	
 1.0000e+00	 4.3223e+00	 1.0000e-07	
 2.0000e+00	 4.3166e+00	 1.0000e-07	
 3.0000e+00	 4.2646e+00	 1.0000e-07	
 4.0000e+00	 4.3046e+00	 1.0000e-07	
 5.0000e+00	 4.2990e+00	 1.0000e-07	
 6.0000e+00	 4.3248e+00	 1.0000e-07	
 7.0000e+00	 4.3256e+00	 1.0000e-07	
 8.0000e+00	 4.3289e+00	 1.0000e-07	
 9.0000e+00	 4.3363e+00	 1.0000e-07	
 1.0000e+01	 4.2938e+00	 1.0000e-07	
 1.1000e+01	 4.3144e+00	 1.0000e-07	
 1.2000e+01	 4.2923e+00	 1.0000e-07	
 1.3000e+01	 4.2800e+00	 1.0000e-07	
 1.4000e+01	 4.2991e+00	 1.0000e-07	
 1.5000e+01	 4.2972e+00	 1.0000e-07	
 1.6000e+01	 4.3440e+00	 1.0000e-07	
 1.7000e+01	 4.3599e+00	 1.0000e-07	
 1.8000e+01	 4.3103e+00	 1.0000e-07	
 1.9000e+01	 4.3046e+00	 1.0000e-07	
 2.0000e+01	 4.3178e+00	 1.0000e-07	
 2.1000e+01	 4.2993e+00	 1.0000e-07	
 2.2000e+01	 4.2930e+00	 1.0000e-07	
 2.3000e+01	 4.3559e+00	 1.0000e-07	
 2.4000e+01	 4.3046e+00	 1.0000e-07	
 2.5000e+01	 4.3294e+00	 1.0000e-07	
 2.6000e+01	 4.3307e+00	 1.0000e-07	
