Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 3.7458e+00	 1.0000e-05	
 1.0000e+00	 3.7626e+00	 1.0000e-05	
 2.0000e+00	 3.8011e+00	 1.0000e-05	
 3.0000e+00	 3.8502e+00	 1.0000e-05	
 4.0000e+00	 3.8154e+00	 1.0000e-05	
 5.0000e+00	 3.8415e+00	 1.0000e-05	
 6.0000e+00	 3.8214e+00	 1.0000e-05	
 7.0000e+00	 3.8463e+00	 1.0000e-05	
 8.0000e+00	 3.8369e+00	 1.0000e-05	
 9.0000e+00	 3.8534e+00	 1.0000e-05	
 1.0000e+01	 3.8370e+00	 1.0000e-05	
 1.1000e+01	 3.8334e+00	 1.0000e-05	
 1.2000e+01	 3.8543e+00	 1.0000e-05	
 1.3000e+01	 3.8287e+00	 1.0000e-05	
 1.4000e+01	 3.8175e+00	 1.0000e-05	
 1.5000e+01	 3.8683e+00	 1.0000e-05	
 1.6000e+01	 3.8484e+00	 1.0000e-05	
 1.7000e+01	 3.8377e+00	 1.0000e-05	
 1.8000e+01	 3.8082e+00	 1.0000e-05	
 1.9000e+01	 3.8478e+00	 1.0000e-05	
 2.0000e+01	 3.8325e+00	 1.0000e-05	
 2.1000e+01	 3.8440e+00	 1.0000e-05	
 2.2000e+01	 3.8200e+00	 1.0000e-05	
 2.3000e+01	 3.8389e+00	 1.0000e-05	
 2.4000e+01	 3.8225e+00	 1.0000e-05	
 2.5000e+01	 3.8331e+00	 1.0000e-05	
 2.6000e+01	 3.8047e+00	 1.0000e-05	
 2.7000e+01	 3.8717e+00	 1.0000e-05	
 2.8000e+01	 3.8343e+00	 1.0000e-05	
 2.9000e+01	 3.8256e+00	 1.0000e-05	
 3.0000e+01	 3.8218e+00	 1.0000e-05	
 3.1000e+01	 3.8080e+00	 1.0000e-05	
 3.2000e+01	 3.8269e+00	 1.0000e-05	
 3.3000e+01	 3.8203e+00	 1.0000e-05	
 3.4000e+01	 3.7964e+00	 1.0000e-05	
 3.5000e+01	 3.8198e+00	 1.0000e-05	
 3.6000e+01	 3.8504e+00	 1.0000e-05	
 3.7000e+01	 3.7849e+00	 1.0000e-05	
 3.8000e+01	 3.8126e+00	 1.0000e-05	
 3.9000e+01	 3.8303e+00	 1.0000e-05	
 4.0000e+01	 3.8048e+00	 1.0000e-05	
 4.1000e+01	 3.7999e+00	 1.0000e-05	
 4.2000e+01	 3.8038e+00	 1.0000e-05	
 4.3000e+01	 3.7823e+00	 1.0000e-05	
 4.4000e+01	 3.7752e+00	 1.0000e-05	
 4.5000e+01	 3.8260e+00	 1.0000e-05	
 4.6000e+01	 3.8506e+00	 1.0000e-05	
 4.7000e+01	 3.7619e+00	 1.0000e-05	
 4.8000e+01	 3.8238e+00	 1.0000e-05	
 4.9000e+01	 3.7883e+00	 1.0000e-05	
