Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 3.8148e+00	 1.0000e-04	
 1.0000e+00	 3.7870e+00	 1.0000e-04	
 2.0000e+00	 3.7689e+00	 1.0000e-04	
 3.0000e+00	 3.7307e+00	 1.0000e-04	
 4.0000e+00	 3.7025e+00	 1.0000e-04	
 5.0000e+00	 3.7255e+00	 1.0000e-04	
 6.0000e+00	 3.7354e+00	 1.0000e-04	
 7.0000e+00	 3.6880e+00	 1.0000e-04	
 8.0000e+00	 3.6840e+00	 1.0000e-04	
 9.0000e+00	 3.7036e+00	 1.0000e-04	
 1.0000e+01	 3.6685e+00	 1.0000e-04	
 1.1000e+01	 3.7022e+00	 1.0000e-04	
 1.2000e+01	 3.6814e+00	 1.0000e-04	
 1.3000e+01	 3.6613e+00	 1.0000e-04	
 1.4000e+01	 3.7061e+00	 1.0000e-04	
 1.5000e+01	 3.7118e+00	 1.0000e-04	
 1.6000e+01	 3.7137e+00	 1.0000e-04	
 1.7000e+01	 3.6528e+00	 1.0000e-04	
 1.8000e+01	 3.6909e+00	 1.0000e-04	
 1.9000e+01	 3.6872e+00	 1.0000e-04	
 2.0000e+01	 3.7302e+00	 1.0000e-04	
 2.1000e+01	 3.6757e+00	 1.0000e-04	
 2.2000e+01	 3.7055e+00	 1.0000e-04	
 2.3000e+01	 3.6989e+00	 1.0000e-04	
 2.4000e+01	 3.6906e+00	 1.0000e-04	
 2.5000e+01	 3.7005e+00	 1.0000e-04	
 2.6000e+01	 3.7069e+00	 1.0000e-04	
 2.7000e+01	 3.6688e+00	 1.0000e-04	
 2.8000e+01	 3.6439e+00	 1.0000e-04	
 2.9000e+01	 3.6569e+00	 1.0000e-04	
 3.0000e+01	 3.6334e+00	 1.0000e-04	
 3.1000e+01	 3.6552e+00	 1.0000e-04	
 3.2000e+01	 3.6754e+00	 1.0000e-04	
 3.3000e+01	 3.6534e+00	 1.0000e-04	
 3.4000e+01	 3.6538e+00	 1.0000e-04	
 3.5000e+01	 3.6307e+00	 1.0000e-04	
 3.6000e+01	 3.6076e+00	 1.0000e-04	
 3.7000e+01	 3.6341e+00	 1.0000e-04	
 3.8000e+01	 3.6442e+00	 1.0000e-04	
 3.9000e+01	 3.6223e+00	 1.0000e-04	
 4.0000e+01	 3.6374e+00	 1.0000e-04	
 4.1000e+01	 3.6476e+00	 1.0000e-04	
 4.2000e+01	 3.6328e+00	 1.0000e-04	
 4.3000e+01	 3.6201e+00	 1.0000e-04	
 4.4000e+01	 3.5950e+00	 1.0000e-04	
 4.5000e+01	 3.6628e+00	 1.0000e-04	
 4.6000e+01	 3.6681e+00	 1.0000e-04	
 4.7000e+01	 3.5978e+00	 1.0000e-04	
 4.8000e+01	 3.6227e+00	 1.0000e-04	
 4.9000e+01	 3.6456e+00	 1.0000e-04	
