Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 4.1654e+00	 5.0000e-05	
 1.0000e+00	 4.2000e+00	 5.0000e-05	
 2.0000e+00	 4.1576e+00	 5.0000e-05	
 3.0000e+00	 4.1705e+00	 5.0000e-05	
 4.0000e+00	 4.1809e+00	 5.0000e-05	
 5.0000e+00	 4.1574e+00	 5.0000e-05	
 6.0000e+00	 4.1307e+00	 5.0000e-05	
 7.0000e+00	 4.1531e+00	 5.0000e-05	
 8.0000e+00	 4.1167e+00	 5.0000e-05	
 9.0000e+00	 4.1504e+00	 5.0000e-05	
 1.0000e+01	 4.1267e+00	 5.0000e-05	
 1.1000e+01	 4.1707e+00	 5.0000e-05	
 1.2000e+01	 4.1464e+00	 5.0000e-05	
 1.3000e+01	 4.1165e+00	 5.0000e-05	
 1.4000e+01	 4.1602e+00	 5.0000e-05	
 1.5000e+01	 4.1235e+00	 5.0000e-05	
 1.6000e+01	 4.1618e+00	 5.0000e-05	
 1.7000e+01	 4.1269e+00	 5.0000e-05	
 1.8000e+01	 4.1114e+00	 5.0000e-05	
 1.9000e+01	 4.1491e+00	 5.0000e-05	
 2.0000e+01	 4.1450e+00	 5.0000e-05	
 2.1000e+01	 4.1348e+00	 5.0000e-05	
 2.2000e+01	 4.1120e+00	 5.0000e-05	
 2.3000e+01	 4.1164e+00	 5.0000e-05	
 2.4000e+01	 4.1026e+00	 5.0000e-05	
 2.5000e+01	 4.1060e+00	 5.0000e-05	
 2.6000e+01	 4.1155e+00	 5.0000e-05	
 2.7000e+01	 4.1018e+00	 5.0000e-05	
 2.8000e+01	 4.0912e+00	 5.0000e-05	
 2.9000e+01	 4.1278e+00	 5.0000e-05	
 3.0000e+01	 4.1153e+00	 5.0000e-05	
