Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 3.6558e+00	 1.0000e-05	
 1.0000e+00	 3.6494e+00	 1.0000e-05	
 2.0000e+00	 3.6331e+00	 1.0000e-05	
 3.0000e+00	 3.6206e+00	 1.0000e-05	
 4.0000e+00	 3.6080e+00	 1.0000e-05	
 5.0000e+00	 3.5976e+00	 1.0000e-05	
 6.0000e+00	 3.5892e+00	 1.0000e-05	
 7.0000e+00	 3.5811e+00	 1.0000e-05	
 8.0000e+00	 3.5729e+00	 1.0000e-05	
 9.0000e+00	 3.5664e+00	 1.0000e-05	
 1.0000e+01	 3.5607e+00	 1.0000e-05	
 1.1000e+01	 3.5564e+00	 1.0000e-05	
 1.2000e+01	 3.5507e+00	 1.0000e-05	
 1.3000e+01	 3.5460e+00	 1.0000e-05	
 1.4000e+01	 3.5415e+00	 1.0000e-05	
 1.5000e+01	 3.5366e+00	 1.0000e-05	
 1.6000e+01	 3.5330e+00	 1.0000e-05	
 1.7000e+01	 3.5293e+00	 1.0000e-05	
 1.8000e+01	 3.5267e+00	 1.0000e-05	
 1.9000e+01	 3.5232e+00	 1.0000e-05	
 2.0000e+01	 3.5197e+00	 1.0000e-05	
 2.1000e+01	 3.5167e+00	 1.0000e-05	
 2.2000e+01	 3.5138e+00	 1.0000e-05	
 2.3000e+01	 3.5109e+00	 1.0000e-05	
 2.4000e+01	 3.5094e+00	 1.0000e-05	
 2.5000e+01	 3.5064e+00	 1.0000e-05	
 2.6000e+01	 3.5033e+00	 1.0000e-05	
 2.7000e+01	 3.5005e+00	 1.0000e-05	
 2.8000e+01	 3.4991e+00	 1.0000e-05	
 2.9000e+01	 3.4970e+00	 1.0000e-05	
 3.0000e+01	 3.4947e+00	 1.0000e-05	
