Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 4.3287e+00	 5.0000e-09	
 1.0000e+00	 4.3277e+00	 5.0000e-09	
 2.0000e+00	 4.3660e+00	 5.0000e-09	
 3.0000e+00	 4.3055e+00	 5.0000e-09	
 4.0000e+00	 4.3404e+00	 5.0000e-09	
 5.0000e+00	 4.3233e+00	 5.0000e-09	
 6.0000e+00	 4.2988e+00	 5.0000e-09	
 7.0000e+00	 4.3063e+00	 5.0000e-09	
 8.0000e+00	 4.3610e+00	 5.0000e-09	
 9.0000e+00	 4.3217e+00	 5.0000e-09	
 1.0000e+01	 4.3549e+00	 5.0000e-09	
 1.1000e+01	 4.3725e+00	 5.0000e-09	
 1.2000e+01	 4.3425e+00	 5.0000e-09	
 1.3000e+01	 4.3577e+00	 5.0000e-09	
 1.4000e+01	 4.3645e+00	 5.0000e-09	
 1.5000e+01	 4.3903e+00	 5.0000e-09	
 1.6000e+01	 4.3747e+00	 5.0000e-09	
 1.7000e+01	 4.2804e+00	 5.0000e-09	
 1.8000e+01	 4.3765e+00	 5.0000e-09	
 1.9000e+01	 4.3392e+00	 5.0000e-09	
 2.0000e+01	 4.3702e+00	 5.0000e-09	
 2.1000e+01	 4.3743e+00	 5.0000e-09	
 2.2000e+01	 4.3375e+00	 5.0000e-09	
 2.3000e+01	 4.3784e+00	 5.0000e-09	
 2.4000e+01	 4.4047e+00	 5.0000e-09	
 2.5000e+01	 4.4132e+00	 5.0000e-09	
