Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 3.0053e+02	 1.0000e-03	
 1.0000e+00	 2.9484e+02	 1.0000e-03	
 2.0000e+00	 2.9270e+02	 1.0000e-03	
 3.0000e+00	 2.9123e+02	 1.0000e-03	
 4.0000e+00	 2.9012e+02	 1.0000e-03	
 5.0000e+00	 2.8924e+02	 1.0000e-03	
 6.0000e+00	 2.8849e+02	 1.0000e-03	
 7.0000e+00	 2.8783e+02	 1.0000e-03	
 8.0000e+00	 2.8722e+02	 1.0000e-03	
 9.0000e+00	 2.8664e+02	 1.0000e-03	
 1.0000e+01	 2.8611e+02	 1.0000e-03	
 1.1000e+01	 2.8571e+02	 1.0000e-03	
 1.2000e+01	 2.8527e+02	 1.0000e-03	
 1.3000e+01	 2.8483e+02	 1.0000e-03	
 1.4000e+01	 2.8448e+02	 1.0000e-03	
 1.5000e+01	 2.8407e+02	 1.0000e-03	
 1.6000e+01	 2.8369e+02	 1.0000e-03	
 1.7000e+01	 2.8335e+02	 1.0000e-03	
 1.8000e+01	 2.8303e+02	 1.0000e-03	
 1.9000e+01	 2.8278e+02	 1.0000e-03	
 2.0000e+01	 2.8248e+02	 1.0000e-03	
 2.1000e+01	 2.8211e+02	 1.0000e-03	
 2.2000e+01	 2.8188e+02	 1.0000e-03	
 2.3000e+01	 2.8165e+02	 1.0000e-03	
 2.4000e+01	 2.8142e+02	 1.0000e-03	
 2.5000e+01	 2.8113e+02	 1.0000e-03	
 2.6000e+01	 2.8088e+02	 1.0000e-03	
 2.7000e+01	 2.8064e+02	 1.0000e-03	
 2.8000e+01	 2.8040e+02	 1.0000e-03	
 2.9000e+01	 2.8013e+02	 1.0000e-03	
 3.0000e+01	 2.7989e+02	 1.0000e-03	
 3.1000e+01	 2.7975e+02	 1.0000e-03	
 3.2000e+01	 2.7949e+02	 1.0000e-03	
 3.3000e+01	 2.7935e+02	 1.0000e-03	
 3.4000e+01	 2.7919e+02	 1.0000e-03	
 3.5000e+01	 2.7896e+02	 1.0000e-03	
 3.6000e+01	 2.7877e+02	 1.0000e-03	
 3.7000e+01	 2.7853e+02	 1.0000e-03	
 3.8000e+01	 2.7838e+02	 1.0000e-03	
 3.9000e+01	 2.7818e+02	 1.0000e-03	
 4.0000e+01	 2.7798e+02	 1.0000e-03	
 4.1000e+01	 2.7790e+02	 1.0000e-03	
 4.2000e+01	 2.7770e+02	 1.0000e-03	
 4.3000e+01	 2.7752e+02	 1.0000e-03	
 4.4000e+01	 2.7729e+02	 1.0000e-03	
 4.5000e+01	 2.7721e+02	 1.0000e-03	
 4.6000e+01	 2.7702e+02	 1.0000e-03	
 4.7000e+01	 2.7686e+02	 1.0000e-03	
 4.8000e+01	 2.7671e+02	 1.0000e-03	
 4.9000e+01	 2.7666e+02	 1.0000e-03	
