Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 3.8355e+00	 1.4000e-04	
 1.0000e+00	 3.8079e+00	 1.4000e-04	
 2.0000e+00	 3.8037e+00	 1.4000e-04	
 3.0000e+00	 3.7641e+00	 1.4000e-04	
 4.0000e+00	 3.7706e+00	 1.4000e-04	
 5.0000e+00	 3.7792e+00	 1.4000e-04	
 6.0000e+00	 3.7940e+00	 1.4000e-04	
 7.0000e+00	 3.7334e+00	 1.4000e-04	
 8.0000e+00	 3.7696e+00	 1.4000e-04	
 9.0000e+00	 3.7371e+00	 1.4000e-04	
 1.0000e+01	 3.7294e+00	 1.4000e-04	
 1.1000e+01	 3.7469e+00	 1.4000e-04	
 1.2000e+01	 3.7474e+00	 1.4000e-04	
 1.3000e+01	 3.7600e+00	 1.4000e-04	
 1.4000e+01	 3.7594e+00	 1.4000e-04	
 1.5000e+01	 3.7323e+00	 1.4000e-04	
 1.6000e+01	 3.7292e+00	 1.4000e-04	
 1.7000e+01	 3.6976e+00	 1.4000e-04	
 1.8000e+01	 3.7187e+00	 1.4000e-04	
 1.9000e+01	 3.7186e+00	 1.4000e-04	
 2.0000e+01	 3.7424e+00	 1.4000e-04	
 2.1000e+01	 3.6902e+00	 1.4000e-04	
 2.2000e+01	 3.7053e+00	 1.4000e-04	
 2.3000e+01	 3.6911e+00	 1.4000e-04	
 2.4000e+01	 3.6676e+00	 1.4000e-04	
 2.5000e+01	 3.7322e+00	 1.4000e-04	
 2.6000e+01	 3.6916e+00	 1.4000e-04	
 2.7000e+01	 3.6899e+00	 1.4000e-04	
 2.8000e+01	 3.6659e+00	 1.4000e-04	
 2.9000e+01	 3.6597e+00	 1.4000e-04	
