Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 3.6444e+00	 1.0000e-06	
 1.0000e+00	 3.5856e+00	 1.0000e-06	
 2.0000e+00	 3.5787e+00	 1.0000e-06	
 3.0000e+00	 3.5757e+00	 1.0000e-06	
 4.0000e+00	 3.5738e+00	 1.0000e-06	
 5.0000e+00	 3.5720e+00	 1.0000e-06	
 6.0000e+00	 3.5706e+00	 1.0000e-06	
 7.0000e+00	 3.5697e+00	 1.0000e-06	
 8.0000e+00	 3.5684e+00	 1.0000e-06	
 9.0000e+00	 3.5680e+00	 1.0000e-06	
 1.0000e+01	 3.5671e+00	 1.0000e-06	
 1.1000e+01	 3.5663e+00	 1.0000e-06	
 1.2000e+01	 3.5656e+00	 1.0000e-06	
 1.3000e+01	 3.5644e+00	 1.0000e-06	
 1.4000e+01	 3.5641e+00	 1.0000e-06	
 1.5000e+01	 3.5629e+00	 1.0000e-06	
 1.6000e+01	 3.5625e+00	 1.0000e-06	
 1.7000e+01	 3.5616e+00	 1.0000e-06	
 1.8000e+01	 3.5612e+00	 1.0000e-06	
 1.9000e+01	 3.5604e+00	 1.0000e-06	
 2.0000e+01	 3.5600e+00	 1.0000e-06	
 2.1000e+01	 3.5589e+00	 1.0000e-06	
 2.2000e+01	 3.5585e+00	 1.0000e-06	
 2.3000e+01	 3.5574e+00	 1.0000e-06	
 2.4000e+01	 3.5573e+00	 1.0000e-06	
 2.5000e+01	 3.5567e+00	 1.0000e-06	
 2.6000e+01	 3.5564e+00	 1.0000e-06	
 2.7000e+01	 3.5560e+00	 1.0000e-06	
 2.8000e+01	 3.5554e+00	 1.0000e-06	
 2.9000e+01	 3.5548e+00	 1.0000e-06	
 3.0000e+01	 3.5542e+00	 1.0000e-06	
 3.1000e+01	 3.5538e+00	 1.0000e-06	
 3.2000e+01	 3.5535e+00	 1.0000e-06	
 3.3000e+01	 3.5525e+00	 1.0000e-06	
 3.4000e+01	 3.5523e+00	 1.0000e-06	
 3.5000e+01	 3.5519e+00	 1.0000e-06	
 3.6000e+01	 3.5515e+00	 1.0000e-06	
 3.7000e+01	 3.5506e+00	 1.0000e-06	
 3.8000e+01	 3.5509e+00	 1.0000e-06	
 3.9000e+01	 3.5499e+00	 1.0000e-06	
 4.0000e+01	 3.5496e+00	 1.0000e-06	
 4.1000e+01	 3.5490e+00	 1.0000e-06	
 4.2000e+01	 3.5494e+00	 1.0000e-06	
 4.3000e+01	 3.5487e+00	 1.0000e-06	
 4.4000e+01	 3.5481e+00	 1.0000e-06	
 4.5000e+01	 3.5477e+00	 1.0000e-06	
 4.6000e+01	 3.5474e+00	 1.0000e-06	
 4.7000e+01	 3.5472e+00	 1.0000e-06	
 4.8000e+01	 3.5461e+00	 1.0000e-06	
 4.9000e+01	 3.5460e+00	 1.0000e-06	
 5.0000e+01	 3.5458e+00	 1.0000e-06	
 5.1000e+01	 3.5450e+00	 1.0000e-06	
 5.2000e+01	 3.5450e+00	 1.0000e-06	
 5.3000e+01	 3.5440e+00	 1.0000e-06	
 5.4000e+01	 3.5441e+00	 1.0000e-06	
 5.5000e+01	 3.5437e+00	 1.0000e-06	
 5.6000e+01	 3.5432e+00	 1.0000e-06	
 5.7000e+01	 3.5426e+00	 1.0000e-06	
 5.8000e+01	 3.5423e+00	 1.0000e-06	
 5.9000e+01	 3.5419e+00	 1.0000e-06	
 6.0000e+01	 3.5414e+00	 1.0000e-06	
 6.1000e+01	 3.5415e+00	 1.0000e-06	
 6.2000e+01	 3.5407e+00	 1.0000e-06	
 6.3000e+01	 3.5408e+00	 1.0000e-06	
 6.4000e+01	 3.5407e+00	 1.0000e-06	
 6.5000e+01	 3.5397e+00	 1.0000e-06	
 6.6000e+01	 3.5393e+00	 1.0000e-06	
 6.7000e+01	 3.5391e+00	 1.0000e-06	
 6.8000e+01	 3.5391e+00	 1.0000e-06	
 6.9000e+01	 3.5385e+00	 1.0000e-06	
