Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 4.8588e+00	 5.0000e-03	
 1.0000e+00	 4.8767e+00	 5.0000e-03	
 2.0000e+00	 4.8698e+00	 5.0000e-03	
 3.0000e+00	 4.8696e+00	 5.0000e-03	
 4.0000e+00	 4.8328e+00	 5.0000e-03	
 5.0000e+00	 4.8320e+00	 5.0000e-03	
 6.0000e+00	 4.8395e+00	 5.0000e-03	
 7.0000e+00	 4.8371e+00	 5.0000e-03	
 8.0000e+00	 4.8289e+00	 5.0000e-03	
 9.0000e+00	 4.8528e+00	 5.0000e-03	
 1.0000e+01	 4.8529e+00	 5.0000e-03	
 1.1000e+01	 4.8554e+00	 5.0000e-03	
 1.2000e+01	 4.8300e+00	 5.0000e-03	
 1.3000e+01	 4.8496e+00	 5.0000e-03	
 1.4000e+01	 4.8520e+00	 5.0000e-03	
 1.5000e+01	 4.8533e+00	 5.0000e-03	
 1.6000e+01	 4.8477e+00	 5.0000e-03	
 1.7000e+01	 4.8361e+00	 5.0000e-03	
 1.8000e+01	 4.8486e+00	 5.0000e-03	
 1.9000e+01	 4.8402e+00	 5.0000e-03	
 2.0000e+01	 4.8333e+00	 5.0000e-03	
 2.1000e+01	 4.8464e+00	 5.0000e-03	
 2.2000e+01	 4.8521e+00	 5.0000e-03	
 2.3000e+01	 4.8478e+00	 5.0000e-03	
 2.4000e+01	 4.8223e+00	 5.0000e-03	
 2.5000e+01	 4.8569e+00	 5.0000e-03	
 2.6000e+01	 4.8354e+00	 5.0000e-03	
 2.7000e+01	 4.8403e+00	 5.0000e-03	
 2.8000e+01	 4.8317e+00	 5.0000e-03	
 2.9000e+01	 4.8220e+00	 5.0000e-03	
 3.0000e+01	 4.8631e+00	 5.0000e-03	
 3.1000e+01	 4.8517e+00	 5.0000e-03	
 3.2000e+01	 4.8527e+00	 5.0000e-03	
 3.3000e+01	 4.8468e+00	 5.0000e-03	
 3.4000e+01	 4.8276e+00	 5.0000e-03	
 3.5000e+01	 4.8305e+00	 5.0000e-03	
 3.6000e+01	 4.8552e+00	 5.0000e-03	
 3.7000e+01	 4.8566e+00	 5.0000e-03	
 3.8000e+01	 4.8323e+00	 5.0000e-03	
 3.9000e+01	 4.8438e+00	 5.0000e-03	
 4.0000e+01	 4.8315e+00	 5.0000e-03	
 4.1000e+01	 4.8413e+00	 5.0000e-03	
 4.2000e+01	 4.8326e+00	 5.0000e-03	
 4.3000e+01	 4.8200e+00	 5.0000e-03	
 4.4000e+01	 4.8179e+00	 5.0000e-03	
 4.5000e+01	 4.8215e+00	 5.0000e-03	
 4.6000e+01	 4.8190e+00	 5.0000e-03	
 4.7000e+01	 4.8436e+00	 5.0000e-03	
 4.8000e+01	 4.8202e+00	 5.0000e-03	
 4.9000e+01	 4.8358e+00	 5.0000e-03	
