Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 3.9497e+00	 2.0000e-04	
 1.0000e+00	 3.8761e+00	 2.0000e-04	
 2.0000e+00	 3.8372e+00	 2.0000e-04	
 3.0000e+00	 3.8652e+00	 2.0000e-04	
 4.0000e+00	 3.8249e+00	 2.0000e-04	
 5.0000e+00	 3.7946e+00	 2.0000e-04	
 6.0000e+00	 3.8173e+00	 2.0000e-04	
 7.0000e+00	 3.7968e+00	 2.0000e-04	
 8.0000e+00	 3.7905e+00	 2.0000e-04	
 9.0000e+00	 3.7666e+00	 2.0000e-04	
 1.0000e+01	 3.8047e+00	 2.0000e-04	
 1.1000e+01	 3.7924e+00	 2.0000e-04	
 1.2000e+01	 3.8025e+00	 2.0000e-04	
 1.3000e+01	 3.7113e+00	 2.0000e-04	
